"coded_run","cooccur","fit","fitfilt","mu","run","sim","run_name","sym"
"3","58","0","0","0.06","EnvEvenSp20","0","EnvEvenSp20","0"
"3","64","0.19","0.19","0.1","EnvEvenSp20","0","EnvEvenSp20","0"
"3","67","0.07","0.07","0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","73","0.63","0.63","0.19","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","0.79","0.79","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","16","'-0.75","0","'-1.59","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","0","0","0.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","75","0.61","0.61","0.17","EnvEvenSp20","0","EnvEvenSp20","0"
"3","71","'-0.12","'-0.12","0.19","EnvEvenSp20","0","EnvEvenSp20","0"
"3","66","'-0.42","'-0.42","0.28","EnvEvenSp20","0","EnvEvenSp20","0"
"3","61","'-0.75","'-0.75","0.23","EnvEvenSp20","0","EnvEvenSp20","0"
"3","43","'-0.57","0","'-0.22","EnvEvenSp20","0","EnvEvenSp20","0"
"3","14","0.24","0.24","'-1.57","EnvEvenSp20","0","EnvEvenSp20","0"
"3","35","'-0.67","0","'-0.49","EnvEvenSp20","0","EnvEvenSp20","0"
"3","69","'-0.1","'-0.1","0.7","EnvEvenSp20","0","EnvEvenSp20","0"
"3","42","'-0.99","0","'-0.3","EnvEvenSp20","0","EnvEvenSp20","0"
"3","38","'-1.25","0","'-0.4","EnvEvenSp20","0","EnvEvenSp20","0"
"3","31","'-1","0","'-0.6","EnvEvenSp20","0","EnvEvenSp20","0"
"3","27","'-0.58","0","'-0.89","EnvEvenSp20","0","EnvEvenSp20","0"
"3","21","'-0.79","0","'-1.06","EnvEvenSp20","0","EnvEvenSp20","0"
"3","51","'-0.8","0","0.05","EnvEvenSp20","0","EnvEvenSp20","0"
"3","58","'-0.72","0","0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","65","'-0.65","'-0.65","0.28","EnvEvenSp20","0","EnvEvenSp20","0"
"3","66","'-0.22","'-0.22","0.23","EnvEvenSp20","0","EnvEvenSp20","0"
"3","72","0.31","0.31","0.29","EnvEvenSp20","0","EnvEvenSp20","0"
"3","48","'-0.87","0","'-0.19","EnvEvenSp20","0","EnvEvenSp20","0"
"3","75","0.07","0.07","0.3","EnvEvenSp20","0","EnvEvenSp20","0"
"3","82","0.57","0.57","0.18","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.91","0.91","0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","75","0.73","0.73","0.13","EnvEvenSp20","0","EnvEvenSp20","0"
"3","67","0.1","0.1","0.18","EnvEvenSp20","0","EnvEvenSp20","0"
"3","62","0.21","0.21","0.13","EnvEvenSp20","0","EnvEvenSp20","0"
"3","60","'-0.35","0","0.07","EnvEvenSp20","0","EnvEvenSp20","0"
"3","54","'-0.23","0","0.07","EnvEvenSp20","0","EnvEvenSp20","0"
"3","48","'-0.83","0","'-0.07","EnvEvenSp20","0","EnvEvenSp20","0"
"3","43","'-1.01","0","'-0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","36","'-0.93","0","'-0.49","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","0.71","0.71","0.22","EnvEvenSp20","0","EnvEvenSp20","0"
"3","32","'-0.58","0","'-0.56","EnvEvenSp20","0","EnvEvenSp20","0"
"3","54","'-0.21","0","0.03","EnvEvenSp20","0","EnvEvenSp20","0"
"3","64","0","0","0.05","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","0.5","0.5","0.1","EnvEvenSp20","0","EnvEvenSp20","0"
"3","72","0.71","0.71","0.06","EnvEvenSp20","0","EnvEvenSp20","0"
"3","69","0","0","'-0.02","EnvEvenSp20","0","EnvEvenSp20","0"
"3","58","'-0.36","0","'-0.08","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-0.58","0","'-0.01","EnvEvenSp20","0","EnvEvenSp20","0"
"3","48","'-0.89","0","'-0.13","EnvEvenSp20","0","EnvEvenSp20","0"
"3","41","'-0.73","0","'-0.32","EnvEvenSp20","0","EnvEvenSp20","0"
"3","35","'-1.77","0","'-0.55","EnvEvenSp20","0","EnvEvenSp20","0"
"3","31","'-1.21","0","'-0.71","EnvEvenSp20","0","EnvEvenSp20","0"
"3","25","'-1","0","'-0.91","EnvEvenSp20","0","EnvEvenSp20","0"
"3","58","'-0.55","0","'-0.05","EnvEvenSp20","0","EnvEvenSp20","0"
"3","20","0.14","0.14","'-1.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","56","'-0.53","'-0.53","0.21","EnvEvenSp20","0","EnvEvenSp20","0"
"3","64","'-1.05","'-1.05","0.3","EnvEvenSp20","0","EnvEvenSp20","0"
"3","70","0","0","0.3","EnvEvenSp20","0","EnvEvenSp20","0"
"3","71","'-0.23","'-0.23","0.39","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.11","0.11","0.3","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.5","0.5","0.23","EnvEvenSp20","0","EnvEvenSp20","0"
"3","80","0.75","0.75","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","82","0.47","0.47","0.06","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","0.79","0.79","0.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","73","0.97","0.97","0.1","EnvEvenSp20","0","EnvEvenSp20","0"
"3","17","'-0.27","0","'-1.27","EnvEvenSp20","0","EnvEvenSp20","0"
"3","28","'-0.76","0","'-0.82","EnvEvenSp20","0","EnvEvenSp20","0"
"3","42","'-1.16","0","'-0.25","EnvEvenSp20","0","EnvEvenSp20","0"
"3","50","'-1.35","0","'-0.04","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","0.47","0.47","0.36","EnvEvenSp20","0","EnvEvenSp20","0"
"3","77","'-0.25","'-0.25","0.37","EnvEvenSp20","0","EnvEvenSp20","0"
"3","70","'-0.51","'-0.51","0.47","EnvEvenSp20","0","EnvEvenSp20","0"
"3","64","'-1.07","'-1.07","0.27","EnvEvenSp20","0","EnvEvenSp20","0"
"3","18","'-0.54","0","'-1.81","EnvEvenSp20","0","EnvEvenSp20","0"
"3","18","'-0.13","0","'-1.63","EnvEvenSp20","0","EnvEvenSp20","0"
"3","20","'-0.56","0","'-1.49","EnvEvenSp20","0","EnvEvenSp20","0"
"3","26","'-1.32","0","'-1.25","EnvEvenSp20","0","EnvEvenSp20","0"
"3","29","'-1.6","0","'-1.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","36","'-1.26","0","'-0.75","EnvEvenSp20","0","EnvEvenSp20","0"
"3","85","0.96","0.96","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","42","'-1.4","0","'-0.56","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-0.91","0","'-0.35","EnvEvenSp20","0","EnvEvenSp20","0"
"3","64","'-0.24","0","'-0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","67","0","0","'-0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","75","0.12","0.12","0","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.31","0.31","0.02","EnvEvenSp20","0","EnvEvenSp20","0"
"3","82","0.52","0.52","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","82","0.85","0.85","0.32","EnvEvenSp20","0","EnvEvenSp20","0"
"3","80","0.74","0.74","0.46","EnvEvenSp20","0","EnvEvenSp20","0"
"3","80","0.07","0.07","0.46","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","0.29","0.29","0.62","EnvEvenSp20","0","EnvEvenSp20","0"
"3","46","'-0.61","0","'-0.55","EnvEvenSp20","0","EnvEvenSp20","0"
"3","75","0.38","0.38","0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","73","0.59","0.59","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","69","0.36","0.36","0.12","EnvEvenSp20","0","EnvEvenSp20","0"
"3","56","'-0.61","0","0.13","EnvEvenSp20","0","EnvEvenSp20","0"
"3","58","'-0.63","0","0.07","EnvEvenSp20","0","EnvEvenSp20","0"
"3","65","0.27","0.27","0.29","EnvEvenSp20","0","EnvEvenSp20","0"
"3","67","0.1","0.1","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","72","0.84","0.84","0.27","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","0.81","0.81","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","78","0.6","0.6","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","76","1.08","1.08","0.14","EnvEvenSp20","0","EnvEvenSp20","0"
"3","73","0.47","0.47","0.15","EnvEvenSp20","0","EnvEvenSp20","0"
"3","68","0","0","0.17","EnvEvenSp20","0","EnvEvenSp20","0"
"3","65","0.22","0.22","0.24","EnvEvenSp20","0","EnvEvenSp20","0"
"3","61","'-0.09","0","0.11","EnvEvenSp20","0","EnvEvenSp20","0"
"3","56","'-0.85","0","0.08","EnvEvenSp20","0","EnvEvenSp20","0"
"3","52","'-1.04","0","'-0.02","EnvEvenSp20","0","EnvEvenSp20","0"
